type,hex,rgb,transliteration
איזור מגורים בבניה נמוכה,#fcfd95,"252, 253, 149",Ezor Megurim BeBinyah Nemukhah
איזור מגורים בבניה נמוכה,#fefe98,"254, 254, 152",Ezor Megurim BeBinyah Nemukhah
איזור מגורים בבניה עירונית נמוכה,#fefe19,"254, 254, 25",Ezor Megurim BeBinyah Ironit Nemukhah
איזור מגורים בבניה עירונית,#fe7717,"254, 119, 23",Ezor Megurim BeBinyah Ironit
איזור מגורים בבניה עירונית,#fe771a,"254, 119, 26",Ezor Megurim BeBinyah Ironit
איזור מגורים בבניה רמת קומות,#fc2815,"252, 40, 21",Ezor Megurim BeBinyah Ramat Komot
איזור תעסוקה מקומי,#d191fc,"209, 145, 252",Ezor Ta'asukah Mekomi
איזור תעסוקה עירוני,#c13bfc,"193, 59, 252",Ezor Ta'asukah Ironi
איזור תעסוקה מטרופולניני,#7017d4,"112, 23, 212",Ezor Ta'asukah Metropolinani
איזור תעסוקה סמוך להסעת המונים,#fd9197,"253, 145, 151",Ezor Ta'asukah Samukh LeHasa'at Hamonim
רחוב עירוני,#ffdd98,"255, 221, 152",Rehov Ironi
