Number,Side,Colors,Street,Type_of_building
2,0,"{'dominant_colors': {'orange': 0.9324125}, 'line_colors': {}}",רחוב חנקין,['אזור מגורים בבניה עירונית']
8,0,"{'dominant_colors': {'orange': 0.88274375}, 'line_colors': {}}",רחוב חנקין,['אזור מגורים בבניה עירונית']
10,0,"{'dominant_colors': {'orange': 0.96143125}, 'line_colors': {}}",רחוב חנקין,['אזור מגורים בבניה עירונית']
12,0,"{'dominant_colors': {'orange': 0.93229375}, 'line_colors': {}}",רחוב חנקין,['אזור מגורים בבניה עירונית']
1,1,"{'dominant_colors': {'orange': 0.9327125}, 'line_colors': {}}",רחוב חנקין,['אזור מגורים בבניה עירונית']
3,1,"{'dominant_colors': {'orange': 0.7882875}, 'line_colors': {}}",רחוב חנקין,['אזור מגורים בבניה עירונית']
5,1,"{'dominant_colors': {'orange': 0.93253125}, 'line_colors': {}}",רחוב חנקין,['אזור מגורים בבניה עירונית']
7,1,"{'dominant_colors': {'orange': 1.0}, 'line_colors': {}}",רחוב חנקין,['אזור מגורים בבניה עירונית']
9,1,"{'dominant_colors': {'orange': 0.9332375}, 'line_colors': {}}",רחוב חנקין,['אזור מגורים בבניה עירונית']
11,1,"{'dominant_colors': {'orange': 0.93016875}, 'line_colors': {}}",רחוב חנקין,['אזור מגורים בבניה עירונית']
13,1,"{'dominant_colors': {'orange': 0.89373125}, 'line_colors': {}}",רחוב חנקין,['אזור מגורים בבניה עירונית']
